id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err,red_chi2
IC0902,2.750E-01,1.147E-01,7.664E+09,1.789E+09,9.820E+09,4.910E+08,8.739E+09,4.370E+08,1.081E+09,4.508E+08,2.766E+09,7.918E+08,1.982,0.278,0.543,0.086,2.609E+07,4.925E+06,3.416E+09,2.603E+08,0.775,0.198,17.538,0.745,3.724,0.882,0.014,0.005,1.202
IC0976,2.693E-03,1.345E-03,6.434E+09,3.217E+08,5.138E+09,2.569E+08,5.127E+09,2.564E+08,1.058E+07,5.286E+06,3.041E+07,8.059E+05,0.039,0.049,0.009,0.010,7.732E+04,2.119E+05,2.424E+07,2.850E+07,11.838,15.646,27.627,6.086,3.626,2.187,0.084,0.143,1.234
IC1613,4.841E-03,6.667E-04,6.122E+07,1.940E+07,8.369E+07,4.184E+06,6.466E+07,3.233E+06,1.903E+07,2.620E+06,2.593E+05,8.899E+05,0.034,0.012,0.006,0.003,6.399E+04,2.187E+04,1.032E+06,3.442E+05,0.945,5.108,18.127,16.336,5.407,1.477,0.011,0.052,9.645
IC2085,1.322E-02,1.177E-02,1.973E+09,4.152E+08,1.819E+09,9.094E+07,1.767E+09,9.381E+07,5.194E+07,4.626E+07,3.715E+08,1.667E+07,1.613,0.370,0.390,0.046,3.038E+06,4.749E+05,3.910E+08,2.038E+07,0.873,0.170,17.889,0.580,4.297,0.714,0.002,0.002,0.163
IC2163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IC2233,2.077E-01,1.760E-02,1.335E+09,1.655E+08,3.418E+09,1.709E+08,2.602E+09,1.301E+08,8.165E+08,6.918E+07,7.465E+07,2.631E+08,0.247,0.032,0.047,0.015,2.576E+06,1.007E+06,3.090E+08,3.244E+07,0.800,0.333,17.633,1.222,1.313,0.376,0.011,0.004,0.767
IC2461,6.146E-01,4.863E-01,3.224E+10,8.094E+09,3.591E+10,1.795E+09,3.349E+10,2.048E+09,2.416E+09,1.911E+09,1.820E+10,2.388E+08,3.524,0.683,1.117,0.164,5.897E+07,8.589E+06,1.702E+10,1.534E+09,1.752,0.386,20.092,0.738,3.259,0.653,0.011,0.005,0.689
IC2531,5.160E-01,3.992E-01,6.326E+10,1.271E+10,6.015E+10,3.008E+09,5.812E+10,3.252E+09,2.028E+09,1.569E+09,1.177E+10,8.796E+08,1.367,0.327,0.380,0.043,1.523E+08,2.017E+07,1.304E+10,6.773E+08,0.567,0.125,16.647,0.613,4.268,0.752,0.004,0.003,0.258
IC2574,1.201E-01,8.151E-03,5.472E+08,1.460E+08,1.364E+09,6.820E+07,8.920E+08,5.717E+07,4.719E+08,3.204E+07,2.890E+07,4.216E+07,0.099,0.017,0.022,0.007,2.774E+06,8.658E+05,6.724E+07,9.810E+06,0.155,0.319,13.406,4.610,3.392,2.049,0.015,0.012,3.442
IC2828,6.902E-02,7.056E-03,2.134E+08,6.641E+07,7.910E+08,3.955E+07,5.198E+08,2.599E+07,2.712E+08,2.773E+07,8.831E+07,1.315E+08,0.659,0.106,0.141,0.043,5.922E+05,2.652E+05,2.062E+08,3.262E+07,2.338,1.409,21.083,2.118,1.598,0.429,0.020,0.009,0.459
